Issues,PRs,Repos,Year,I Lang,PR Lang,Max Issues,Language With Max Issues,Max PRs,Language With Max PRs
26074,15528,7810537,2011,19,14,2645,Ruby,329,Ruby
483126,430350,,2012,47,38,5321,JavaScript,4743,Ruby
1243638,952269,,2013,73,60,10625,JavaScript,3585,JavaScript
2389775,2048525,,2014,99,92,247,JavaScript,240,JavaScript
4046532,4112513,,2015,129,120,320,JavaScript,139,JavaScript
5208973,5986486,,2016,130,146,2154,JavaScript,5070,JavaScript
5669991,6647371,,2017,130,141,8622,JavaScript,8422,JavaScript
3835196,4511951,,2018,109,112,1069,JavaScript,1066,JavaScript
3171778,4643589,,2019,99,106,213,JavaScript,3737,JavaScript
3000208,5056464,,2020,97,108,100,Python,1048,JavaScript
2042667,4144351,,2021,81,99,3915,Python,9053,Python
